ID_Uzorka;GPS_LAT;GPS_LONG
1;18,48397;77,384425
2;18,487464;77,394938
3;18,473758;77,402073
4;18,475845;77,4025
5;18,470045;77,381169
6;18,470969;77,387817
7;18,478181;77,37547
8;18,492701;77,386264
9;18,485939;77,397269
10;18,482594;77,402135
11;18,473819;77,385278
12;18,490238;77,395899
13;18,487358;77,397016
14;18,473669;77,391973
15;18,488917;77,371775
16;18,482446;77,381993
17;18,473339;77,369487
18;18,472422;77,397645
19;18,489428;77,400532
20;18,482263;77,390831
21;18,475129;77,38814
22;18,490461;77,398473
23;18,484926;77,38786
24;18,464156;77,382327
25;18,487498;77,391657
26;18,477854;77,393023
27;18,481575;77,378333
28;18,486551;77,388118
29;18,474531;77,379678
30;18,494875;77,390352
31;18,471446;77,368416
32;18,471701;77,378741
33;18,484795;77,371018
34;18,469123;77,386146
35;18,487797;77,390261
36;18,491803;77,39832
37;18,476145;77,380828
38;18,462478;77,382643
39;18,49367;77,397777
40;18,478867;77,395961
41;18,466365;77,402146
42;18,494442;77,394574
43;18,493417;77,376497
44;18,469457;77,399244
45;18,465391;77,377295
46;18,484561;77,382687
47;18,480327;77,392231
48;18,478099;77,402041
49;18,483119;77,402932
50;18,472432;77,397007
51;18,482034;77,372598
52;18,463152;77,384314
53;18,48317;77,39049
54;18,489143;77,376213
55;18,48126;77,374582
56;18,465737;77,401621
57;18,48839;77,381689
58;18,476232;77,384612
59;18,483867;77,377022
60;18,48642;77,408321
61;18,472553;77,403193
62;18,498851;77,386481
63;18,47703;77,384429
64;18,471312;77,379775
65;18,458591;77,404003
66;18,474492;77,399643
67;18,47234;77,408397
68;18,472178;77,385936
69;18,486386;77,373059
70;18,480013;77,399133
71;18,478118;77,390924
72;18,463786;77,388049
73;18,476862;77,378869
74;18,468404;77,394374
75;18,473253;77,374253
76;18,478703;77,39672
77;18,484586;77,404558
78;18,48016;77,4012
79;18,475732;77,407823
80;18,480412;77,372028
81;18,482536;77,400194
82;18,463119;77,393677
83;18,472421;77,409096
84;18,489546;77,399174
85;18,471294;77,392619
86;18,476458;77,396502
87;18,494194;77,387728
88;18,48655;77,385844
89;18,480697;77,3935
90;18,485523;77,387782
91;18,47097;77,378732
92;18,481486;77,379756
93;18,46202;77,388066
94;18,47125;77,385674
95;18,476046;77,398735
96;18,476508;77,386693
97;18,472174;77,395494
98;18,464843;77,377368
99;18,473096;77,405806
100;18,473697;77,404774
101;18,478355;77,378337
102;18,478601;77,386439
103;18,477446;77,391283
104;18,478849;77,385628
105;18,474177;77,388539
106;18,506065;77,392583
107;18,481812;77,386339
108;18,488963;77,391098
109;18,486316;77,390136
110;18,475033;77,388925
111;18,481173;77,390761
112;18,46288;77,392358
113;18,478546;77,398764
114;18,470326;77,378048
115;18,498726;77,387435
116;18,484869;77,386065
117;18,470546;77,383506
118;18,469776;77,398896
119;18,474353;77,400438
120;18,490768;77,417187
121;18,481573;77,377372
122;18,500785;77,405639
123;18,466491;77,397514
124;18,490665;77,391865
125;18,475462;77,391502
126;18,471081;77,392308
127;18,48344;77,393105
128;18,477017;77,393327
129;18,464392;77,385893
130;18,469528;77,381475
131;18,485769;77,399959
132;18,474515;77,387115
133;18,470958;77,397652
134;18,50214;77,383149
135;18,481449;77,39244
136;18,465039;77,405589
137;18,482458;77,408468
138;18,486538;77,398449
139;18,468697;77,397631
140;18,476402;77,387613
141;18,474034;77,383335
142;18,467986;77,401855
143;18,456323;77,39032
144;18,454101;77,380524
145;18,478348;77,383569
146;18,480468;77,380666
147;18,493958;77,386343
148;18,480541;77,374064
149;18,497247;77,389745
150;18,474139;77,401905
151;18,476313;77,373949
152;18,459825;77,382001
153;18,479437;77,380262
154;18,493766;77,386308
155;18,477511;77,38905
156;18,464084;77,38743
157;18,462044;77,401665
158;18,467775;77,388867
159;18,479575;77,390408
160;18,489871;77,387906
161;18,469512;77,385456
162;18,487776;77,404819
163;18,489647;77,375378
164;18,483514;77,368396
165;18,465036;77,410154
166;18,479851;77,370489
167;18,471633;77,391986
168;18,47424;77,394381
